m_interview,a_interview,m_naissance,a_naissance,age,etude
10,2001,7,1976,25,0
10,2001,7,1976,25,0
10,2001,11,1964,36,0
10,2001,11,1964,36,0
10,2001,11,1964,36,0
10,2001,11,1964,36,0
10,2001,11,1964,36,0
10,2001,11,1964,36,0
10,2001,4,1963,38,1
10,2001,4,1963,38,1
10,2001,4,1963,38,1
10,2001,4,1963,38,1
10,2001,4,1963,38,1
10,2001,4,1963,38,1
10,2001,4,1963,38,1
10,2001,4,1961,40,1
10,2001,4,1961,40,1
10,2001,4,1961,40,1
10,2001,4,1961,40,1
10,2001,4,1961,40,1
10,2001,4,1961,40,1
10,2001,4,1961,40,1
10,2001,5,1966,35,0
10,2001,5,1966,35,0
10,2001,5,1966,35,0
10,2001,5,1966,35,0
10,2001,5,1966,35,0
10,2001,8,1980,21,0
10,2001,8,1980,21,0
10,2001,9,1965,36,0
10,2001,9,1965,36,0
10,2001,9,1965,36,0
10,2001,9,1965,36,0
10,2001,9,1965,36,0
10,2001,9,1965,36,0
10,2001,9,1965,36,0
10,2001,9,1965,36,0
10,2001,7,1971,30,1
10,2001,7,1971,30,1
10,2001,7,1971,30,1
10,2001,7,1971,30,1
10,2001,7,1971,30,1
10,2001,7,1971,30,1
10,2001,7,1966,35,1
10,2001,7,1966,35,1
10,2001,7,1966,35,1
10,2001,7,1966,35,1
10,2001,7,1966,35,1
10,2001,7,1966,35,1
10,2001,7,1966,35,1
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1957,43,0
10,2001,12,1978,22,0
10,2001,12,1978,22,0
10,2001,12,1978,22,0
10,2001,6,1978,23,0
10,2001,6,1978,23,0
10,2001,6,1982,19,0
10,2001,11,1978,22,0
10,2001,6,1956,45,0
10,2001,6,1956,45,0
10,2001,6,1956,45,0
10,2001,6,1956,45,0
10,2001,6,1956,45,0
10,2001,6,1956,45,0
10,2001,6,1956,45,0
10,2001,6,1956,45,0
8,2001,3,1961,40,0
8,2001,3,1961,40,0
8,2001,3,1961,40,0
8,2001,3,1961,40,0
8,2001,3,1961,40,0
8,2001,3,1961,40,0
8,2001,3,1961,40,0
8,2001,7,1972,29,1
8,2001,7,1972,29,1
8,2001,7,1972,29,1
8,2001,9,1965,35,0
8,2001,9,1965,35,0
8,2001,9,1965,35,0
8,2001,9,1965,35,0
8,2001,9,1965,35,0
8,2001,9,1965,35,0
8,2001,9,1965,35,0
8,2001,9,1965,35,0
8,2001,9,1965,35,0
8,2001,11,1961,39,0
8,2001,11,1961,39,0
8,2001,11,1961,39,0
8,2001,11,1961,39,0
8,2001,11,1961,39,0
8,2001,11,1961,39,0
8,2001,9,1980,20,0
8,2001,9,1980,20,0
8,2001,9,1980,20,0
8,2001,10,1979,21,0
8,2001,10,1979,21,0
8,2001,5,1963,38,0
8,2001,5,1963,38,0
8,2001,5,1963,38,0
8,2001,10,1968,32,0
8,2001,10,1968,32,0
8,2001,10,1968,32,0
8,2001,10,1968,32,0
8,2001,10,1968,32,0
8,2001,10,1968,32,0
8,2001,10,1968,32,0
8,2001,10,1968,32,0
8,2001,10,1968,32,0
8,2001,12,1980,20,0
8,2001,12,1980,20,0
8,2001,12,1980,20,0
8,2001,12,1980,20,0
8,2001,3,1982,19,0
8,2001,8,1981,20,0
8,2001,10,1980,20,0
8,2001,7,1980,21,0
8,2001,4,1979,22,0
8,2001,4,1979,22,0
8,2001,4,1979,22,0
8,2001,1,1981,20,2
8,2001,7,1981,20,0
8,2001,7,1981,20,0
