nom,age,ori,haut,poids,s20,s21,v20,v21,rupt,c20,c21,lig20,lig21,div20,div21
L. Messi,34,Argentina,170,72,560000.0,320000.0,103500000.0,78000000.0,144300000.0,FC Barcelona,Paris Saint-Germain,Spain Primera Division,French Ligue 1,1.0,1.0
R. Lewandowski,32,Poland,185,81,240000.0,270000.0,111000000.0,119500000.0,197200000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Cristiano Ronaldo,36,Portugal,187,83,220000.0,270000.0,63000000.0,45000000.0,83300000.0,Juventus,Manchester United,Italian Serie A,English Premier League,1.0,1.0
Neymar Jr,29,Brazil,175,68,270000.0,270000.0,132000000.0,129000000.0,238700000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
K. De Bruyne,30,Belgium,181,70,370000.0,350000.0,129000000.0,125500000.0,232200000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
J. Oblak,28,Slovenia,188,87,125000.0,130000.0,120000000.0,112000000.0,238000000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
K. Mbappé,22,France,182,73,160000.0,230000.0,185500000.0,194000000.0,373500000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
M. Neuer,35,Germany,193,93,130000.0,86000.0,17500000.0,13500000.0,22300000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
M. ter Stegen,29,Germany,187,85,260000.0,250000.0,110000000.0,99000000.0,210400000.0,FC Barcelona,FC Barcelona,Spain Primera Division,Spain Primera Division,1.0,1.0
H. Kane,27,England,188,89,220000.0,240000.0,109000000.0,129500000.0,246100000.0,Tottenham Hotspur,Tottenham Hotspur,English Premier League,English Premier League,1.0,1.0
N. Kanté,30,France,168,70,190000.0,230000.0,78000000.0,100000000.0,185000000.0,Chelsea,Chelsea,English Premier League,English Premier League,1.0,1.0
K. Benzema,33,France,185,81,350000.0,350000.0,83500000.0,66000000.0,135300000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
T. Courtois,29,Belgium,199,96,250000.0,250000.0,82000000.0,85500000.0,181700000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
